raw_track_id,track_id
1378172,1378172
1379009,1379009
1379050,1379050
1379092,1379092
1379102,1379102
1379117,1379117
1379138,1379138
1379194,1379194
1379201,1379201
1379215,1379215
1379219,1379219
1379222,1379222
1379223,1379223
1379224,1379224
1379228,1379228
1379229,1379229
1379230,1379230
1379233,1379233
1379234,1379234
1379235,1379235
1379236,1379236
1379237,1379237
1379240,1379240
1379244,1379258
1379245,1379245
1379249,1379249
1379251,1379251
1379252,1379252
1379255,1379255
1379256,1379256
1379257,1379257
1379258,1379258
1379259,1379615
1379262,1379262
1379264,1379264
1379273,1379273
1379276,1379276
1379283,1379283
1379285,1379285
1379288,1379288
1379293,1379315
1379295,1379295
1379296,1379296
1379301,1379301
1379303,1379303
1379304,1379304
1379305,1379305
1379307,1379307
1379309,1379309
1379311,1379311
1379312,1379447
1379315,1379315
1379320,1379320
1379321,1379321
1379322,1379322
1379323,1379323
1379324,1379324
1379327,1379327
1379328,1379328
1379334,1379334
1379335,1379335
1379336,1379336
1379337,1379337
1379338,1379338
1379339,1379422
1379345,1379345
1379346,1379346
1379348,1379348
1379349,1379400
1379351,1379431
1379354,1379354
1379356,1379356
1379362,1379362
1379368,1379368
1379369,1379369
1379371,1379534
1379376,1379376
1379383,1379383
1379384,1379384
1379385,1379385
1379386,1379386
1379394,1379394
1379396,1379396
1379399,1379399
1379400,1379400
1379406,1379406
1379409,1379534
1379410,1379431
1379413,1379426
1379416,1379416
1379419,1379419
1379422,1379422
1379426,1379426
1379431,1379431
1379434,1379534
1379441,1379441
1379442,1379442
1379446,1379446
1379447,1379447
1379448,1379448
1379451,1379451
1379453,1379453
1379454,1379454
1379455,1379455
1379457,1379457
1379464,1379464
1379465,1379465
1379466,1379466
1379467,1379467
1379476,1379476
1379479,1379479
1379480,1379480
1379485,1379485
1379486,1379486
1379487,1379487
1379490,1379490
1379492,1379492
1379494,1379494
1379497,1379497
1379498,1379498
1379500,1379500
1379511,1379511
1379516,1379516
1379523,1379523
1379527,1379527
1379529,1379529
1379530,1379530
1379534,1379534
1379540,1379540
1379542,1379542
1379547,1379547
1379549,1379549
1379550,1379550
1379565,1379565
1379566,1379566
1379577,1379697
1379578,1379578
1379579,1379579
1379582,1379582
1379585,1379585
1379589,1379589
1379594,1379594
1379596,1379596
1379598,1379598
1379600,1379600
1379601,1379601
1379602,1379602
1379603,1379603
1379604,1379604
1379605,1379605
1379608,1379608
1379609,1379609
1379610,1379610
1379611,1379611
1379615,1379615
1379620,1379620
1379622,1379622
1379623,1379623
1379624,1379624
1379632,1379632
1379638,1379638
1379640,1379708
1379641,1379641
1379642,1379642
1379644,1379644
1379645,1379645
1379651,1379651
1379654,1379654
1379656,1379656
1379664,1379664
1379673,1379673
1379675,1379675
1379681,1379681
1379682,1379682
1379686,1379686
1379687,1379687
1379689,1379785
1379692,1379692
1379697,1379697
1379700,1379700
1379702,1379702
1379708,1379708
1379713,1379713
1379727,1379727
1379728,1379728
1379740,1379740
1379741,1379741
1379742,1379771
1379743,1379743
1379744,1379744
1379745,1379745
1379746,1379746
1379747,1379747
1379748,1379748
1379752,1379752
1379753,1379753
1379754,1379754
1379755,1379755
1379758,1379758
1379759,1379759
1379760,1379760
1379761,1379761
1379764,1379764
1379765,1379765
1379768,1379768
1379769,1379769
1379770,1379770
1379771,1379771
1379773,1379773
1379774,1379774
1379776,1379776
1379780,1379780
1379781,1379781
1379782,1379782
1379783,1379783
1379784,1379784
1379785,1379785
1379788,1379788
1379793,1379793
1379796,1379796
1379798,1379831
1379799,1379799
1379801,1379801
1379804,1379863
1379806,1379806
1379808,1379808
1379813,1379813
1379817,1379970
1379822,1379822
1379823,1379823
1379824,1379824
1379825,1379825
1379828,1379828
1379831,1379831
1379832,1379832
1379833,1379833
1379834,1379834
1379835,1380004
1379838,1379838
1379840,1379840
1379841,1379841
1379842,1379842
1379845,1379845
1379849,1379849
1379854,1379854
1379857,1379857
1379860,1379860
1379863,1379863
1379867,1379867
1379877,1379877
1379878,1379878
1379879,1379879
1379880,1379880
1379881,1379881
1379883,1379883
