raw_track_id,track_id,new_track_id,clinic_id
82224,82224,82224,
82233,82233,82233,
82242,82242,82242,
82244,82244,82244,
82246,82246,82246,
82249,82249,82249,
82261,82261,82261,
82262,82262,82262,
82263,82263,82263,
82267,82267,82267,
82268,82268,82268,
82269,82269,82269,
82270,82270,82270,
82272,82272,82272,
82274,82274,82274,
82275,82275,82275,
82279,82279,82279,
82282,82282,82282,
82283,82283,82283,
82285,82285,82285,
82292,82292,82292,
82301,82301,82301,
82302,82302,82302,
82313,82313,82313,
82315,82315,82315,
82319,82319,82319,
82325,82325,82325,
82329,82329,82329,
82330,82330,82330,
82336,82336,82336,
82344,82344,82344,
82346,82346,82346,
82356,82356,82356,
82357,82357,82357,
82362,82362,82362,
82365,82365,82365,
82376,82376,82376,
82377,82377,82377,
82378,82378,82378,
82380,82442,82442,
82381,82381,82381,
82382,82382,82382,
82383,82383,82383,
82384,82384,82384,
82389,82389,82389,
82390,82390,82390,
82392,82392,82392,
82393,82393,82393,
82397,82397,82397,
82400,82400,82400,
82402,82402,82402,
82404,82404,82404,
82405,82504,82504,
82406,82406,82406,
82409,82409,82409,
82410,82410,82410,
82411,82411,82411,
82412,82412,82412,
82413,82442,82442,
82415,82415,82415,
82418,82418,82418,
82419,82419,82419,
82420,82420,82420,
82421,82421,82421,
82422,82422,82422,
82424,82424,82424,
82428,82428,82428,
82431,82431,82431,
82433,82433,82433,
82434,82434,82434,
82437,82504,82504,
82438,82438,82438,
82439,82439,82439,
82442,82442,82442,
82443,82443,82443,
82444,82444,82444,
82446,82500,82500,
82455,82455,82455,
82457,82457,82457,
82464,82464,82464,
82469,82504,82504,
82470,82470,82470,
82472,82472,82472,
82481,82481,82481,
82486,82486,82486,
82489,82489,82489,
82495,82495,82495,
82500,82500,82500,
82501,82501,82501,
82504,82504,82504,
82511,82511,82511,
82516,82516,82516,
82521,82521,82521,
82532,82532,82532,
82533,82533,82533,
82534,82534,82534,
82536,82536,82536,
82541,82541,82541,
82542,82542,82542,
82548,82548,82548,
82549,82549,82549,
82551,82551,82551,
82552,82552,82552,
82553,82553,82553,
82556,82556,82556,
82559,82559,82559,
82562,82562,82562,
82574,82574,82574,
82576,82576,82576,
82583,82583,82583,
82584,82584,82584,
82586,82586,82586,
82587,82587,82587,
82592,82592,82592,
82593,82593,82593,
82604,82604,82604,
82606,82606,82606,
82607,82607,82607,
82608,82608,82608,
82609,82609,82609,
82612,82612,82612,
82627,82627,82627,
82631,82631,82631,
82635,82635,82635,
82661,82661,82661,
82663,82663,82663,
82672,82672,82672,
82673,82673,82673,
82678,82678,82678,
82680,82680,82680,
82684,82684,82684,
82685,82685,82685,
82688,83106,83106,
82691,82691,82691,
82700,82700,82700,
82702,82702,82702,
82703,82703,82703,
82705,82705,82705,
82708,82708,82708,
82709,82709,82709,
82710,82710,82710,
82713,82713,82713,
82717,82717,82717,
82718,82718,82718,
82727,82727,82727,
82735,82735,82735,
82738,82738,82738,
82740,82740,82740,
82741,82741,82741,
82750,82750,82750,
82753,82753,82753,
82755,82755,82755,
82756,82756,82756,
82758,83106,83106,
82761,82761,82761,
82763,82763,82763,
82764,82764,82764,
82766,82766,82766,
82767,82767,82767,
82768,82768,82768,
82769,82769,82769,
82771,82771,82771,
82772,82772,82772,
82773,82773,82773,
82774,82774,82774,
82775,82775,82775,
82783,82783,82783,
82784,83106,83106,
82786,82786,82786,
82787,83529,83529,
82788,82788,82788,
82791,82791,82791,
82792,82792,82792,
82794,82794,82794,
82795,83106,83106,
82798,82798,82798,
82799,82799,82799,
82806,82806,82806,
82807,82807,82807,
82808,82808,82808,
82810,82810,82810,
82812,82812,82812,
82814,83106,83106,
82815,82815,82815,
82817,82817,82817,
82820,82820,82820,
82822,82822,82822,
82823,82823,82823,
82826,82826,82826,
82827,82827,82827,
82828,82828,82828,
82829,82891,82891,
82830,83106,83106,
82834,82834,82834,
82835,82835,82835,
82838,82838,82838,
82839,82839,82839,
82840,82840,82840,
