raw_track_id,track_id,new_track_id,clinic_id
1157209,1157209,1157209,
1157247,1157247,1157247,
1157248,1158350,1158350,
1157292,1157292,1157292,
1157298,1157795,1157795,
1157299,1158376,1158376,
1157343,1157343,1157343,
1157347,1157347,1157347,
1157353,1157353,1157353,
1157359,1157359,1157359,
1157366,1157366,1157366,
1157375,1157375,1157375,
1157376,1157376,1157376,
1157392,1157392,1157392,
1157399,1157870,1157870,
1157417,1157417,1157417,
1157432,1157432,1157432,
1157434,1157434,1157434,
1157437,1157437,1157437,
1157439,1157611,1157611,
1157446,1157870,1157870,
1157450,1157450,1157450,
1157469,1157469,1157469,
1157473,1157473,1157473,
1157492,1157492,1157492,
1157505,1157795,1157795,
1157556,1157556,1157556,
1157611,1157611,1157611,
1157638,1158273,1158273,
1157641,1157641,1157641,
1157649,1157649,1157649,
1157685,1157685,1157685,
1157724,1157724,1157724,
1157738,1157738,1157738,
1157774,1157774,1157774,
1157787,1157787,1157787,
1157789,1157789,1157789,
1157793,1157793,1157793,
1157794,1157794,1157794,
1157795,1157795,1157795,
1157802,1157802,1157802,
1157804,1157804,1157804,
1157814,1157814,1157814,
1157818,1157818,1157818,
1157843,1157843,1157843,
1157845,1157845,1157845,
1157847,1157847,1157847,
1157848,1157848,1157848,
1157855,1157855,1157855,
1157862,1157862,1157862,
1157870,1157870,1157870,
1157872,1157872,1157872,
1157885,1157885,1157885,
1157888,1157888,1157888,
1157940,1157940,1157940,
1158004,1158004,1158004,
1158022,1158022,1158022,
1158025,1158025,1158025,
1158026,1158026,1158026,
1158040,1158120,1158120,
1158068,1158068,1158068,
1158081,1158081,1158081,
1158092,1158092,1158092,
1158097,1158097,1158097,
1158120,1158120,1158120,
1158124,1158124,1158124,
1158159,1158159,1158159,
1158162,1158162,1158162,
1158188,1158188,1158188,
1158190,1158190,1158190,
1158194,1158194,1158194,
1158203,1158203,1158203,
1158205,1158205,1158205,
1158211,1158211,1158211,
1158213,1158213,1158213,
1158249,1158249,1158249,
1158257,1158257,1158257,
1158273,1158273,1158273,
1158284,1158284,1158284,
1158289,1158289,1158289,
1158303,1158303,1158303,
1158308,1158308,1158308,
1158313,1158313,1158313,
1158316,1158316,1158316,
1158317,1158317,1158317,
1158320,1158320,1158320,
1158327,1158327,1158327,
1158328,1158446,1158446,
1158335,1158335,1158335,
1158340,1158340,1158340,
1158342,1158342,1158342,
1158343,1158343,1158343,
1158349,1158349,1158349,
1158350,1158350,1158350,
1158358,1158358,1158358,
1158361,1158581,1158581,
1158368,1158368,1158368,
1158376,1158376,1158376,
1158377,1158377,1158377,
1158379,1158379,1158379,
1158381,1158381,1158381,
1158382,1158382,1158382,
1158384,1158384,1158384,
1158385,1158385,1158385,
1158386,1158386,1158386,
1158390,1158390,1158390,
1158404,1158404,1158404,
1158405,1158405,1158405,
1158406,1158406,1158406,
1158408,1158408,1158408,
1158423,1158423,1158423,
1158426,1158426,1158426,
1158427,1158427,1158427,
1158428,1158428,1158428,
1158431,1158431,1158431,
1158432,1158964,1158964,
1158438,1158438,1158438,
1158439,1158439,1158439,
1158441,1158441,1158441,
1158442,1158442,1158442,
1158443,1158443,1158443,
1158446,1158446,1158446,
1158456,1158456,1158456,
1158457,1158457,1158457,
1158461,1158579,1158579,
1158462,1158462,1158462,
1158465,1158465,1158465,
1158468,1158468,1158468,
1158469,1158469,1158469,
1158471,1158471,1158471,
1158478,1158478,1158478,
1158485,1158485,1158485,
1158486,1158486,1158486,
1158489,1158489,1158489,
1158490,1158490,1158490,
1158494,1158494,1158494,
1158500,1158500,1158500,
1158504,1158504,1158504,
1158505,1158505,1158505,
1158506,1158506,1158506,
1158508,1158508,1158508,
1158510,1158510,1158510,
1158511,1158579,1158579,
1158512,1158512,1158512,
1158515,1158515,1158515,
1158517,1158517,1158517,
1158518,1158518,1158518,
1158519,1159222,1159222,
1158521,1158521,1158521,
1158527,1158527,1158527,
1158529,1158529,1158529,
1158535,1158535,1158535,
1158550,1158550,1158550,
1158551,1158643,1158643,
1158555,1158555,1158555,
1158557,1158557,1158557,
1158558,1158558,1158558,
1158565,1158565,1158565,
1158571,1158571,1158571,
1158572,1158572,1158572,
1158575,1158575,1158575,
1158579,1158579,1158579,
1158580,1158755,1158755,
1158581,1158581,1158581,
1158583,1158583,1158583,
1158584,1158584,1158584,
1158589,1158589,1158589,
1158592,1158592,1158592,
1158593,1158593,1158593,
1158595,1158595,1158595,
1158597,1158597,1158597,
1158598,1159004,1159004,
1158612,1158612,1158612,
1158613,1158613,1158613,
1158621,1158621,1158621,
1158626,1158626,1158626,
1158630,1159256,1159256,
1158632,1158632,1158632,
1158636,1158636,1158636,
1158638,1158638,1158638,
1158640,1158640,1158640,
1158641,1158641,1158641,
1158643,1158643,1158643,
1158644,1158644,1158644,
1158648,1158648,1158648,
1158653,1158653,1158653,
1158656,1158656,1158656,
1158657,1158657,1158657,
1158671,1158671,1158671,
1158672,1158672,1158672,
1158678,1158765,1158765,
1158679,1158679,1158679,
1158683,1159459,1159459,
1158685,1158685,1158685,
1158689,1158689,1158689,
1158693,1158693,1158693,
1158700,1158700,1158700,
1158702,1158702,1158702,
1158717,1158765,1158765,
1158722,1158722,1158722,
1158723,1158723,1158723,
1158727,1158727,1158727,
1158728,1158728,1158728,
1158730,1158730,1158730,
1158732,1158732,1158732,
1158733,1158733,1158733,
1158734,1158734,1158734,
1158735,1158780,1158780,
1158738,1158738,1158738,
1158744,1158744,1158744,
1158746,1159459,1159459,
1158752,1158752,1158752,
1158755,1158755,1158755,
1158757,1158757,1158757,
1158758,1158758,1158758,
1158762,1158762,1158762,
1158764,1158764,1158764,
1158765,1158765,1158765,
1158767,1158767,1158767,
1158768,1158768,1158768,
1158773,1158773,1158773,
1158775,1158775,1158775,
1158779,1158779,1158779,
1158780,1158780,1158780,
1158783,1158783,1158783,
1158784,1159903,1159903,
1158785,1158785,1158785,
1158787,1158787,1158787,
1158793,1158793,1158793,
1158795,1158795,1158795,
1158797,1158797,1158797,
1158803,1158803,1158803,
1158804,1158804,1158804,
1158807,1158807,1158807,
1158810,1158810,1158810,
1158815,1158815,1158815,
1158820,1158820,1158820,
1158821,1158821,1158821,
1158824,1158824,1158824,
1158826,1158826,1158826,
1158832,1158832,1158832,
1158835,1161886,1161886,
1158837,1158837,1158837,
1158839,1158839,1158839,
1158840,1158840,1158840,
1158842,1158842,1158842,
1158844,1158844,1158844,
1158846,1158846,1158846,
1158848,1158848,1158848,
1158851,1159256,1159256,
1158853,1158853,1158853,
1158855,1158855,1158855,
1158859,1158859,1158859,
1158864,1159459,1159459,
1158866,1158866,1158866,
