raw_track_id,track_id,new_track_id,clinic_id
2064209,2064209,2064209,
2064242,2064242,2064242,
2064247,2064247,2064247,
2064297,2064297,2064297,
2064352,2064352,2064352,
2064355,2064355,2064355,
2064363,2064363,2064363,
2064366,2064366,2064366,
2064383,2065864,2065864,
2064386,2064386,2064386,
2064387,2064387,2064387,
2064393,2064393,2064393,
2064396,2064396,2064396,
2064402,2064402,2064402,
2064403,2064403,2064403,
2064407,2064407,2064407,
2064413,2064413,2064413,
2064418,2064418,2064418,
2064420,2064420,2064420,
2064425,2064425,2064425,
2064427,2064427,2064427,
2064428,2064428,2064428,
2064429,2064429,2064429,
2064432,2064432,2064432,
2064435,2064435,2064435,
2064436,2064436,2064436,
2064437,2064437,2064437,
2064441,2064441,2064441,
2064447,2064447,2064447,
2064448,2064448,2064448,
2064458,2064458,2064458,
2064465,2064465,2064465,
2064466,2064466,2064466,
2064469,2064469,2064469,
2064470,2064470,2064470,
2064471,2064471,2064471,
2064476,2064476,2064476,
2064478,2064478,2064478,
2064479,2064479,2064479,
2064486,2064486,2064486,
2064489,2064489,2064489,
2064490,2064490,2064490,
2064491,2064491,2064491,
2064492,2067734,2067734,
2064502,2064502,2064502,
2064504,2064504,2064504,
2064505,2064505,2064505,
2064510,2064510,2064510,
2064519,2064570,2064570,
2064521,2064521,2064521,
2064523,2064523,2064523,
2064528,2064528,2064528,
2064529,2064529,2064529,
2064534,2064534,2064534,
2064535,2064535,2064535,
2064536,2064536,2064536,
2064537,2064537,2064537,
2064538,2064538,2064538,
2064542,2064542,2064542,
2064545,2064545,2064545,
2064549,2064549,2064549,
2064550,2064550,2064550,
2064551,2064551,2064551,
2064552,2064552,2064552,
2064553,2064553,2064553,
2064554,2064554,2064554,
2064557,2064557,2064557,
2064561,2064827,2064827,
2064562,2064562,2064562,
2064567,2064567,2064567,
2064570,2064570,2064570,
2064571,2064571,2064571,
2064574,2064574,2064574,
2064577,2064577,2064577,
2064579,2064579,2064579,
2064581,2064581,2064581,
2064583,2064583,2064583,
2064584,2064584,2064584,
2064585,2064585,2064585,
2064587,2064587,2064587,
2064589,2064589,2064589,
2064593,2064593,2064593,
2064595,2064595,2064595,
2064597,2064597,2064597,
2064598,2064598,2064598,
2064600,2064600,2064600,
2064603,2064603,2064603,
2064604,2064604,2064604,
2064605,2064605,2064605,
2064606,2064606,2064606,
2064607,2064607,2064607,
2064608,2064608,2064608,
2064609,2064609,2064609,
2064611,2064611,2064611,
2064613,2064613,2064613,
2064616,2064616,2064616,
2064628,2064628,2064628,
2064630,2064630,2064630,
2064631,2064771,2064771,
2064632,2064632,2064632,
2064633,2064633,2064633,
2064637,2064637,2064637,
2064639,2064639,2064639,
2064642,2064642,2064642,
2064643,2064643,2064643,
2064644,2064644,2064644,
2064646,2064646,2064646,
2064648,2064648,2064648,
2064650,2064650,2064650,
2064658,2065385,2065385,
2064666,2064666,2064666,
2064669,2064669,2064669,
2064670,2064670,2064670,
2064676,2064676,2064676,
2064678,2064678,2064678,
2064694,2064694,2064694,
2064698,2065367,2065367,
2064708,2064708,2064708,
2064709,2064709,2064709,
2064718,2064718,2064718,
2064720,2064720,2064720,
2064721,2064721,2064721,
2064727,2064727,2064727,
2064729,2064729,2064729,
2064730,2064730,2064730,
2064735,2064735,2064735,
2064738,2064738,2064738,
2064739,2064739,2064739,
2064741,2064741,2064741,
2064744,2064771,2064771,
2064746,2064746,2064746,
2064749,2064749,2064749,
2064752,2064752,2064752,
2064754,2064754,2064754,
2064756,2064756,2064756,
2064757,2064757,2064757,
2064758,2064758,2064758,
2064762,2064762,2064762,
2064766,2064766,2064766,
2064767,2064767,2064767,
2064770,2064770,2064770,
2064771,2064771,2064771,
2064772,2064772,2064772,
2064773,2067734,2067734,
2064775,2064775,2064775,
2064776,2064776,2064776,
2064777,2064777,2064777,
2064778,2064778,2064778,
2064779,2064779,2064779,
2064780,2064780,2064780,
2064790,2064790,2064790,
2064795,2064795,2064795,
2064797,2064797,2064797,
2064798,2064798,2064798,
2064799,2064799,2064799,
2064802,2064802,2064802,
2064803,2067734,2067734,
2064807,2064937,2064937,
2064810,2064810,2064810,
2064811,2064811,2064811,
2064812,2064812,2064812,
2064813,2064813,2064813,
2064814,2064814,2064814,
2064819,2064819,2064819,
2064823,2064823,2064823,
2064826,2064826,2064826,
2064827,2064827,2064827,
2064829,2064829,2064829,
2064832,2064832,2064832,
2064840,2064840,2064840,
2064841,2064841,2064841,
2064844,2064844,2064844,
2064846,2064846,2064846,
2064850,2064850,2064850,
2064856,2064856,2064856,
2064857,2064857,2064857,
2064861,2064861,2064861,
2064864,2064864,2064864,
2064867,2064930,2064930,
2064871,2064871,2064871,
2064873,2064873,2064873,
2064875,2064875,2064875,
2064876,2064876,2064876,
2064877,2064877,2064877,
2064881,2064881,2064881,
2064889,2064889,2064889,
2064895,2064895,2064895,
2064896,2064896,2064896,
2064900,2064900,2064900,
2064901,2064901,2064901,
2064902,2064902,2064902,
2064904,2064904,2064904,
2064906,2064906,2064906,
2064907,2064907,2064907,
2064910,2064992,2064992,
2064911,2064911,2064911,
2064912,2064912,2064912,
2064916,2064916,2064916,
2064919,2064919,2064919,
2064921,2064921,2064921,
2064922,2065028,2065028,
2064925,2064925,2064925,
2064927,2064927,2064927,
2064928,2064928,2064928,
2064930,2064930,2064930,
2064936,2064936,2064936,
2064937,2064937,2064937,
2064938,2064938,2064938,
2064940,2064940,2064940,
2064941,2064941,2064941,
2064944,2064944,2064944,
2064946,2064946,2064946,
2064948,2064948,2064948,
2064953,2064953,2064953,
2064954,2064954,2064954,
2064955,2064955,2064955,
2064956,2064956,2064956,
2064957,2064957,2064957,
2064959,2064959,2064959,
2064962,2064962,2064962,
2064967,2064967,2064967,
2064971,2064971,2064971,
2064978,2064978,2064978,
2064983,2064983,2064983,
