raw_track_id,track_id,new_track_id,clinic_id
942154,942154,942154,
942274,942274,942274,
942380,942380,942380,
942381,942381,942381,
942411,942411,942411,
942412,942412,942412,
942415,942415,942415,
942417,942417,942417,
942423,942423,942423,
942448,942448,942448,
942456,942456,942456,
942458,942458,942458,
942459,942581,942581,
942470,942470,942470,
942483,942483,942483,
942484,942484,942484,
942502,942502,942502,
942509,942509,942509,
942541,942541,942541,
942542,942542,942542,
942543,942543,942543,
942544,942544,942544,
942546,942546,942546,
942547,942547,942547,
942556,942581,942581,
942557,942557,942557,
942561,942561,942561,
942564,942564,942564,
942569,942812,942812,
942574,942574,942574,
942578,942578,942578,
942579,942579,942579,
942580,942580,942580,
942581,942581,942581,
942582,942582,942582,
942583,973404,973404,
942588,942652,942652,
942592,942592,942592,
942597,942597,942597,
942615,942615,942615,
942628,942628,942628,
942629,942629,942629,
942638,942638,942638,
942639,942639,942639,
942641,942641,942641,
942643,942643,942643,
942648,942648,942648,
942652,942652,942652,
942655,942655,942655,
942668,942745,942745,
942672,942672,942672,
942679,942679,942679,
942684,942684,942684,
942687,942812,942812,
942694,942694,942694,
942696,942744,942744,
942705,942705,942705,
942707,942707,942707,
942721,942721,942721,
942723,942723,942723,
942724,942800,942800,
942727,942727,942727,
942728,942728,942728,
942729,942729,942729,
942730,942730,942730,
942735,942735,942735,
942739,942771,942771,
942742,942742,942742,
942744,942744,942744,
942745,942745,942745,
942752,942752,942752,
942754,942754,942754,
942755,942755,942755,
942770,942770,942770,
942771,942771,942771,
942773,942773,942773,
942778,942778,942778,
942788,942788,942788,
942794,942794,942794,
942797,942797,942797,
942800,942800,942800,
942804,942804,942804,
942805,942805,942805,
942807,942807,942807,
942809,942809,942809,
942810,942810,942810,
942811,942811,942811,
942812,942812,942812,
942817,942817,942817,
942821,942821,942821,
942828,942828,942828,
942829,942829,942829,
942832,942832,942832,
942833,942833,942833,
942834,942834,942834,
942836,942836,942836,
942851,942851,942851,
942852,942852,942852,
942853,942853,942853,
942854,942854,942854,
942856,942856,942856,
942858,942858,942858,
942860,942860,942860,
942862,942862,942862,
942866,942866,942866,
942867,942867,942867,
942868,942868,942868,
942874,942874,942874,
942877,942877,942877,
942878,942878,942878,
942879,942879,942879,
942880,942880,942880,
942881,942881,942881,
942896,942896,942896,
942900,942900,942900,
942907,942907,942907,
942910,942910,942910,
942918,942918,942918,
942922,942922,942922,
942941,942941,942941,
942966,942966,942966,
942977,942977,942977,
942980,942980,942980,
942991,942991,942991,
943002,943002,943002,
943007,943007,943007,
943008,943008,943008,
943010,943010,943010,
943012,943012,943012,
943024,943024,943024,
943025,943025,943025,
943026,943026,943026,
943027,943027,943027,
943029,943029,943029,
943031,943031,943031,
943035,943035,943035,
943045,943045,943045,
943046,943046,943046,
943049,943049,943049,
943050,943116,943116,
943055,943055,943055,
943056,943056,943056,
943058,943058,943058,
943059,943059,943059,
943063,943063,943063,
943064,943064,943064,
943066,943066,943066,
943068,943068,943068,
943072,943072,943072,
943074,943074,943074,
943075,943075,943075,
943077,943077,943077,
943078,943078,943078,
943082,945030,945030,
943087,943087,943087,
943088,943088,943088,
943089,943089,943089,
943092,943092,943092,
943104,943104,943104,
943105,943105,943105,
943110,943110,943110,
943111,943111,943111,
943113,943113,943113,
943115,943115,943115,
943116,943116,943116,
943117,943117,943117,
943118,943118,943118,
943123,943123,943123,
943124,943124,943124,
943125,943125,943125,
943128,943128,943128,
943131,943236,943236,
943133,943133,943133,
943137,943137,943137,
943140,943150,943150,
943143,943143,943143,
943147,943147,943147,
943148,943148,943148,
943149,943149,943149,
943150,943150,943150,
943158,943158,943158,
943159,943159,943159,
943164,943164,943164,
943166,943166,943166,
943168,943168,943168,
943169,943169,943169,
943171,943171,943171,
943173,943173,943173,
943176,943176,943176,
943177,943177,943177,
943179,943179,943179,
943183,943183,943183,
943190,943190,943190,
943192,943192,943192,
943193,943193,943193,
943194,943194,943194,
943195,943195,943195,
943196,943196,943196,
943198,943219,943219,
943203,943203,943203,
943207,943207,943207,
943210,943210,943210,
943212,943212,943212,
943213,943213,943213,
943215,943215,943215,
943216,943249,943249,
943217,943217,943217,
943219,943219,943219,
943221,943221,943221,
943224,943224,943224,
943225,943225,943225,
943226,943226,943226,
943228,943228,943228,
