raw_track_id,track_id,new_track_id,clinic_id
1256448,1256448,1256448,
1256449,1256449,1256449,
1256450,1256450,1256450,
1256451,1256451,1256451,
1256452,1256452,1256452,
1256453,1256453,1256453,
1256454,1256454,1256454,
1256455,1256455,1256455,
1256457,1256457,1256457,
1256458,1256458,1256458,
1256461,1256461,1256461,
1256464,1256464,1256464,
1256466,1256466,1256466,
1256467,1256467,1256467,
1256472,1256472,1256472,
1256473,1256473,1256473,
1256476,1256476,1256476,
1256479,1256479,1256479,
1256480,1256480,1256480,
1256481,1256481,1256481,
1256482,1256482,1256482,
1256492,1256492,1256492,
1256502,1256502,1256502,
1256509,1256509,1256509,
1256510,1256510,1256510,
1256514,1256514,1256514,
1256516,1256516,1256516,
1256517,1256517,1256517,
1256520,1256520,1256520,
1256521,1256521,1256521,
1256522,1256522,1256522,
1256523,1256523,1256523,
1256524,1256524,1256524,
1256525,1256525,1256525,
1256526,1256526,1256526,
1256527,1256527,1256527,
1256533,1256533,1256533,
1256534,1256534,1256534,
1256535,1256535,1256535,
1256536,1256536,1256536,
1256539,1256539,1256539,
1256540,1256540,1256540,
1256541,1256541,1256541,
1256545,1256545,1256545,
1256549,1256549,1256549,
1256551,1256551,1256551,
1256553,1256553,1256553,
1256560,1256560,1256560,
1256561,1256561,1256561,
1256562,1256562,1256562,
1256563,1256563,1256563,
1256565,1256565,1256565,
1256566,1256566,1256566,
1256568,1256568,1256568,
1256571,1256571,1256571,
1256573,1256573,1256573,
1256574,1256574,1256574,
1256582,1256582,1256582,
1256583,1256583,1256583,
1256586,1256586,1256586,
1256588,1256588,1256588,
1256593,1256593,1256593,
1256604,1256604,1256604,
1256607,1256607,1256607,
1256608,1256608,1256608,
1256613,1256613,1256613,
1256614,1256614,1256614,
1256617,1256617,1256617,
1256620,1256620,1256620,
1256621,1256621,1256621,
1256626,1256626,1256626,
1256635,1256635,1256635,
1256645,1256645,1256645,
1256651,1256651,1256651,
1256652,1256652,1256652,
1256658,1256658,1256658,
1256660,1256660,1256660,
1256661,1256661,1256661,
1256662,1256662,1256662,
1256664,1256664,1256664,
1256665,1256665,1256665,
1256666,1256666,1256666,
1256667,1256667,1256667,
1256685,1256685,1256685,
1256686,1256686,1256686,
1256687,1256687,1256687,
1256688,1256688,1256688,
1256700,1256700,1256700,
1256701,1256701,1256701,
1256703,1256703,1256703,
1256704,1256704,1256704,
1256706,1256706,1256706,
1256734,1256734,1256734,
1256744,1256744,1256744,
1256745,1256745,1256745,
1256747,1256747,1256747,
1256748,1256748,1256748,
1256749,1256749,1256749,
1256780,1256780,1256780,
1256792,1256792,1256792,
1256794,1256794,1256794,
1256796,1256796,1256796,
1256797,1256797,1256797,
1256798,1256798,1256798,
1256801,1256801,1256801,
1256805,1256805,1256805,
1256825,1256825,1256825,
1256828,1256828,1256828,
1256830,1256830,1256830,
1256831,1256831,1256831,
1256835,1256835,1256835,
1256837,1256837,1256837,
1256838,1256838,1256838,
1256841,1256841,1256841,
1256844,1256844,1256844,
1256852,1256852,1256852,
1256857,1256857,1256857,
1256858,1256858,1256858,
1256859,1256859,1256859,
1256864,1256864,1256864,
1256868,1256868,1256868,
1256870,1256870,1256870,
1256874,1256874,1256874,
1256875,1256875,1256875,
1256879,1256879,1256879,
1256882,1256882,1256882,
1256885,1256885,1256885,
1256886,1256886,1256886,
1256889,1256889,1256889,
1256893,1256893,1256893,
1256895,1256895,1256895,
1256901,1256901,1256901,
1256903,1256903,1256903,
1256905,1256905,1256905,
1256906,1256906,1256906,
1256908,1256916,1256916,
1256913,1256913,1256913,
1256915,1256915,1256915,
1256916,1256916,1256916,
1256917,1256917,1256917,
1256918,1256918,1256918,
1256919,1256919,1256919,
1256922,1256922,1256922,
1256928,1256928,1256928,
1256930,1256930,1256930,
1256932,1256958,1256958,
1256933,1256933,1256933,
1256935,1256935,1256935,
1256939,1256939,1256939,
1256944,1256944,1256944,
1256948,1256948,1256948,
1256949,1256949,1256949,
1256950,1256958,1256958,
1256951,1256951,1256951,
1256953,1256953,1256953,
1256955,1256955,1256955,
1256958,1256958,1256958,
1256963,1256963,1256963,
1256965,1256965,1256965,
1256966,1256966,1256966,
1256968,1256968,1256968,
1256969,1256969,1256969,
1256970,1256970,1256970,
1256972,1256972,1256972,
1256974,1256974,1256974,
1256975,1256975,1256975,
1256976,1256976,1256976,
1256978,1256978,1256978,
1256979,1256979,1256979,
1256980,1256980,1256980,
1256981,1256981,1256981,
1256983,1257744,1257744,
1256985,1256985,1256985,
1256986,1256986,1256986,
1256987,1256987,1256987,
1256993,1256993,1256993,
1256994,1256994,1256994,
1256995,1256995,1256995,
1256996,1256996,1256996,
1256998,1256998,1256998,
1256999,1256999,1256999,
1257000,1257000,1257000,
1257006,1257006,1257006,
1257012,1257012,1257012,
1257015,1257015,1257015,
1257022,1257022,1257022,
1257028,1257028,1257028,
1257030,1257030,1257030,
1257031,1257031,1257031,
1257036,1257036,1257036,
1257038,1257038,1257038,
1257039,1257039,1257039,
1257040,1257040,1257040,
1257042,1257042,1257042,
1257043,1257043,1257043,
1257044,1257044,1257044,
1257045,1257744,1257744,
1257055,1257055,1257055,
1257057,1257057,1257057,
1257067,1257067,1257067,
1257069,1257795,1257795,
1257070,1257070,1257070,
1257072,1257072,1257072,
1257074,1257074,1257074,
1257076,1257076,1257076,
1257077,1257077,1257077,
1257088,1257088,1257088,
1257092,1257092,1257092,
1257094,1257094,1257094,
1257095,1257095,1257095,
1257098,1257098,1257098,
1257102,1257225,1257225,
1257126,1257126,1257126,
1257140,1257140,1257140,
1257142,1257142,1257142,
1257146,1257146,1257146,
1257149,1257149,1257149,
1257150,1257150,1257150,
1257151,1257151,1257151,
1257162,1257162,1257162,
1257175,1258587,1258587,
1257179,1257179,1257179,
1257182,1257744,1257744,
1257183,1257244,1257244,
1257184,1257184,1257184,
1257193,1257193,1257193,
1257198,1257198,1257198,
1257202,1257202,1257202,
1257203,1257203,1257203,
1257204,1257204,1257204,
1257205,1257205,1257205,
1257206,1257206,1257206,
1257209,1257209,1257209,
1257213,1257213,1257213,
1257218,1257744,1257744,
1257225,1257225,1257225,
1257236,1257236,1257236,
1257238,1257238,1257238,
1257239,1257239,1257239,
1257244,1257244,1257244,
1257246,1257246,1257246,
1257247,1257247,1257247,
1257256,1257256,1257256,
1257273,1257273,1257273,
1257275,1257275,1257275,
1257276,1257276,1257276,
1257277,1257277,1257277,
1257310,1257310,1257310,
1257312,1257312,1257312,
1257316,1257316,1257316,
1257317,1257317,1257317,
1257318,1257318,1257318,
1257320,1257320,1257320,
1257325,1257325,1257325,
1257331,1257331,1257331,
1257332,1257332,1257332,
1257333,1257333,1257333,
1257337,1257337,1257337,
1257345,1258784,1258784,
1257351,1257351,1257351,
1257356,1257356,1257356,
1257358,1257358,1257358,
1257359,1257359,1257359,
1257362,1257362,1257362,
1257379,1257548,1257548,
1257383,1257383,1257383,
