time_minute,track_id_count
2024-06-26 06:00:00,2.2666666666666666
2024-06-26 06:01:00,2.0
2024-06-26 06:02:00,1.6166666666666667
2024-06-26 06:03:00,2.0
2024-06-26 06:04:00,2.75
2024-06-26 06:05:00,3.0
2024-06-26 06:06:00,2.8666666666666667
2024-06-26 06:07:00,4.833333333333333
2024-06-26 06:08:00,7.35
2024-06-26 06:09:00,6.616666666666666
2024-06-26 06:10:00,8.066666666666666
2024-06-26 06:11:00,5.116666666666666
2024-06-26 06:12:00,5.833333333333333
2024-06-26 06:13:00,6.7
2024-06-26 06:14:00,5.133333333333334
2024-06-26 06:15:00,5.283333333333333
2024-06-26 06:16:00,5.25
2024-06-26 06:17:00,3.05
2024-06-26 06:18:00,4.25
2024-06-26 06:19:00,6.0
2024-06-26 06:20:00,4.6
2024-06-26 06:21:00,3.55
2024-06-26 06:22:00,6.05
2024-06-26 06:23:00,6.583333333333333
2024-06-26 06:24:00,7.65
2024-06-26 06:25:00,8.6
2024-06-26 06:26:00,8.583333333333334
2024-06-26 06:27:00,8.633333333333333
2024-06-26 06:28:00,6.683333333333334
2024-06-26 06:29:00,8.65
2024-06-26 06:30:00,7.5
2024-06-26 06:31:00,11.533333333333333
2024-06-26 06:32:00,11.933333333333334
2024-06-26 06:33:00,11.683333333333334
2024-06-26 06:34:00,12.566666666666666
2024-06-26 06:35:00,12.166666666666666
2024-06-26 06:36:00,9.433333333333334
2024-06-26 06:37:00,8.183333333333334
2024-06-26 06:38:00,7.05
2024-06-26 06:39:00,6.9
2024-06-26 06:40:00,6.05
2024-06-26 06:41:00,6.5
2024-06-26 06:42:00,8.95
2024-06-26 06:43:00,9.733333333333333
2024-06-26 06:44:00,12.166666666666666
2024-06-26 06:45:00,12.466666666666667
2024-06-26 06:46:00,14.416666666666666
2024-06-26 06:47:00,16.966666666666665
2024-06-26 06:48:00,13.766666666666667
2024-06-26 06:49:00,15.666666666666666
2024-06-26 06:50:00,16.233333333333334
2024-06-26 06:51:00,13.783333333333333
2024-06-26 06:52:00,13.65
2024-06-26 06:53:00,15.416666666666666
2024-06-26 06:54:00,16.083333333333332
2024-06-26 06:55:00,19.6
2024-06-26 06:56:00,19.483333333333334
2024-06-26 06:57:00,18.466666666666665
2024-06-26 06:58:00,17.983333333333334
2024-06-26 06:59:00,24.75
2024-06-26 07:00:00,26.933333333333334
2024-06-26 07:01:00,35.06666666666667
2024-06-26 07:02:00,38.88333333333333
2024-06-26 07:03:00,28.783333333333335
2024-06-26 07:04:00,27.766666666666666
2024-06-26 07:05:00,29.733333333333334
